run_number , run_description , start_time , exposure_sec , GEM3_V , GEM2_V , GEM1_V , T2_V , T1_V , DRIFT_V , OFFSET_V , PMT1_V , PMT2_V , PMT3_V , PMT4_V , HV_STATE , stop_time , number_of_events
3647 , S000:DATA:Fe, with pmt Trg: LVL2, 5mV thr, veto 10 us, Fe 25cm far from GEMs; gas flux 20 l/h , 2022-11-24 05:16:46 , 0.3 , 420 , 420 , 420 , 500 , 500 , 960 , 0 , 813 , 836 , 774 , 770 , 0 , 2022-11-24 05:17:42 , 200
3648 , S000:DATA:Fe, with pmt Trg: LVL2, 5mV thr, veto 10 us, Fe 25cm far from GEMs; gas flux 20 l/h , 2022-11-24 05:16:46 , 0.3 , 420 , 420 , 420 , 500 , 500 , 960 , 0 , 813 , 836 , 774 , 770 , 0 , 2022-11-24 05:17:42 , 200
3649 , S000:DATA:Fe, with pmt Trg: LVL2, 5mV thr, veto 10 us, Fe 25cm far from GEMs; gas flux 20 l/h , 2022-11-24 05:16:46 , 0.3 , 420 , 420 , 420 , 500 , 500 , 960 , 0 , 813 , 836 , 774 , 770 , 0 , 2022-11-24 05:17:42 , 200
3650 , S000:DATA:Fe, with pmt Trg: LVL2, 5mV thr, veto 10 us, Fe 25cm far from GEMs; gas flux 20 l/h , 2022-11-24 05:16:46 , 0.3 , 420 , 420 , 420 , 500 , 500 , 960 , 0 , 813 , 836 , 774 , 770 , 0 , 2022-11-24 05:17:42 , 200
3651 , S000:DATA:Fe, with pmt Trg: LVL2, 5mV thr, veto 10 us, Fe 25cm far from GEMs; gas flux 20 l/h , 2022-11-24 05:16:46 , 0.3 , 420 , 420 , 420 , 500 , 500 , 960 , 0 , 813 , 836 , 774 , 770 , 0 , 2022-11-24 05:17:42 , 200
3652 , S000:DATA:Fe, with pmt Trg: LVL2, 5mV thr, veto 10 us, Fe 25cm far from GEMs; gas flux 20 l/h , 2022-11-24 05:16:46 , 0.3 , 420 , 420 , 420 , 500 , 500 , 960 , 0 , 813 , 836 , 774 , 770 , 0 , 2022-11-24 05:17:42 , 200
3653 , S000:DATA:Fe, with pmt Trg: LVL2, 5mV thr, veto 10 us, Fe 25cm far from GEMs; gas flux 20 l/h , 2022-11-24 05:16:46 , 0.3 , 420 , 420 , 420 , 500 , 500 , 960 , 0 , 813 , 836 , 774 , 770 , 0 , 2022-11-24 05:17:42 , 200
3654 , S000:DATA:Fe, with pmt Trg: LVL2, 5mV thr, veto 10 us, Fe 25cm far from GEMs; gas flux 20 l/h , 2022-11-24 05:16:46 , 0.3 , 420 , 420 , 420 , 500 , 500 , 960 , 0 , 813 , 836 , 774 , 770 , 0 , 2022-11-24 05:17:42 , 200
3655 , S000:DATA:Fe, with pmt Trg: LVL2, 5mV thr, veto 10 us, Fe 25cm far from GEMs; gas flux 20 l/h , 2022-11-24 05:16:46 , 0.3 , 420 , 420 , 420 , 500 , 500 , 960 , 0 , 813 , 836 , 774 , 770 , 0 , 2022-11-24 05:17:42 , 200
3656 , S000:DATA:Fe, with pmt Trg: LVL2, 5mV thr, veto 10 us, Fe 25cm far from GEMs; gas flux 20 l/h , 2022-11-24 05:16:46 , 0.3 , 420 , 420 , 420 , 500 , 500 , 960 , 0 , 813 , 836 , 774 , 770 , 0 , 2022-11-24 05:17:42 , 200
